"","country","continent","year","lifeExp","pop","gdpPercap","newpop","weight","weighted_mean_gdp"
"1","Afghanistan","Asia",1952,28.801,8425333,779.4453145,0.8425333,0.000167035194187936,0.130194799466385
"2","Afghanistan","Asia",1957,30.332,9240934,820.8530296,0.9240934,0.00018320477127348,0.150384191537011
"3","Afghanistan","Asia",1962,31.997,10267083,853.10071,1.0267083,0.000203548536615545,0.173647401106183
"4","Afghanistan","Asia",1967,34.02,11537966,836.1971382,1.1537966,0.000228744239704687,0.191275278620794
"5","Afghanistan","Asia",1972,36.088,13079460,739.9811058,1.307946,0.000259304901179971,0.191880727514515
"6","Afghanistan","Asia",1977,38.438,14880372,786.11336,1.4880372,0.000295008615874142,0.231910214253771
"7","Afghanistan","Asia",1982,39.854,12881816,978.0114388,1.2881816,0.000255386539268331,0.249770956719973
"8","Afghanistan","Asia",1987,40.822,13867957,852.3959448,1.3867957,0.000274937131919291,0.234355296322946
"9","Afghanistan","Asia",1992,41.674,16317921,649.3413952,1.6317921,0.000323508531114249,0.210067480952829
"10","Afghanistan","Asia",1997,41.763,22227415,635.341351,2.2227415,0.000440666331030578,0.279973542097181
"11","Afghanistan","Asia",2002,42.129,25268405,726.7340548,2.5268405,0.000500955028839148,0.364061079380725
"12","Afghanistan","Asia",2007,43.828,31889923,974.5803384,3.1889923,0.000632228955335455,0.616157909237107
"13","Albania","Europe",1952,55.23,1282697,1601.056136,0.1282697,2.54299198001175e-05,0.040714729133966
"14","Albania","Europe",1957,59.28,1476505,1942.284244,0.1476505,2.92722316606903e-05,0.0568549943412768
"15","Albania","Europe",1962,64.82,1728137,2312.888958,0.1728137,3.42609246872922e-05,0.0792417144001078
"16","Albania","Europe",1967,66.22,1984060,2760.196931,0.198406,3.93346883002152e-05,0.108571485928096
"17","Albania","Europe",1972,67.69,2263554,3313.422188,0.2263554,4.48757552900141e-05,0.148692323281191
"18","Albania","Europe",1977,68.93,2509048,3533.00391,0.2509048,4.97427603047682e-05,0.175741366650939
"19","Albania","Europe",1982,70.42,2780097,3630.880722,0.2780097,5.51164021951773e-05,0.200121082196468
"20","Albania","Europe",1987,72,3075321,3738.932735,0.3075321,6.09693219751954e-05,0.227960193763813
"21","Albania","Europe",1992,71.581,3326498,2497.437901,0.3326498,6.5948994466543e-05,0.164703518313584
"22","Albania","Europe",1997,72.95,3428038,3193.054604,0.3428038,6.7962060729662e-05,0.217006570910175
"23","Albania","Europe",2002,75.651,3508512,4604.211737,0.3508512,6.95574861231841e-05,0.320257394004579
"24","Albania","Europe",2007,76.423,3600523,5937.029526,0.3600523,7.13816366051207e-05,0.423794884138804
"25","Algeria","Africa",1952,43.077,9279525,2449.008185,0.9279525,0.000183969851440508,0.450543671971038
"26","Algeria","Africa",1957,45.685,10270856,3013.976023,1.0270856,0.000203623337669423,0.613715857458873
"27","Algeria","Africa",1962,48.303,11000948,2550.81688,1.1000948,0.000218097668713081,0.556327214841975
"28","Algeria","Africa",1967,51.407,12760499,3246.991771,1.2760499,0.00025298138701461,0.821428481852606
"29","Algeria","Africa",1972,54.518,14760787,4182.663766,1.4760787,0.000292637801130444,1.22400552735022
"30","Algeria","Africa",1977,58.014,17152804,4910.416756,1.7152804,0.000340060380641051,1.66983819115156
"31","Algeria","Africa",1982,61.368,20033753,5745.160213,2.0033753,0.000397176209257029,2.28184095497365
"32","Algeria","Africa",1987,65.799,23254956,5681.358539,2.3254956,0.000461037693262915,2.61932043542013
"33","Algeria","Africa",1992,67.744,26298373,5023.216647,2.6298373,0.000521374507201292,2.61897710389495
"34","Algeria","Africa",1997,69.152,29072015,4797.295051,2.9072015,0.000576362936747972,2.76498306404087
"35","Algeria","Africa",2002,70.994,31287142,5288.040382,3.1287142,0.000620278609706648,3.28005833621957
"36","Algeria","Africa",2007,72.301,33333216,6223.367465,3.3333216,0.00066084274739864,4.11266725364191
"37","Angola","Africa",1952,30.015,4232095,3520.610273,0.4232095,8.39027739493258e-05,0.295388967899193
"38","Angola","Africa",1957,31.999,4561361,3827.940465,0.4561361,9.04305883691813e-05,0.346162908492148
"39","Angola","Africa",1962,34,4826015,4269.276742,0.4826015,9.56774471322254e-05,0.408473499775544
"40","Angola","Africa",1967,35.985,5247469,5522.776375,0.5247469,0.000104032921121358,0.574550558991276
"41","Angola","Africa",1972,37.928,5894858,5473.288005,0.5894858,0.000116867636061425,0.6396502306277
"42","Angola","Africa",1977,39.483,6162675,3008.647355,0.6162675,0.0001221772024135,0.367588116882676
"43","Angola","Africa",1982,39.942,7016384,2756.953672,0.7016384,0.000139102284020956,0.38349855271516
"44","Angola","Africa",1987,39.906,7874230,2430.208311,0.787423,0.000156109383110492,0.379378320260202
"45","Angola","Africa",1992,40.647,8735988,2627.845685,0.8735988,0.000173194038977864,0.455127207995701
"46","Angola","Africa",1997,40.963,9875024,2277.140884,0.9875024,0.000195775828854543,0.445809143983667
"47","Angola","Africa",2002,41.003,10866106,2773.287312,1.0866106,0.000215424378570758,0.597433695785768
"48","Angola","Africa",2007,42.731,12420476,4797.231267,1.2420476,0.000246240311281062,1.18127172047332
"49","Argentina","Americas",1952,62.485,17876956,5911.315053,1.7876956,0.000354416949092599,2.09507024620942
"50","Argentina","Americas",1957,64.399,19610538,6856.856212,1.9610538,0.000388785822822659,2.66584848435908
"51","Argentina","Americas",1962,65.142,21283783,7133.166023,2.1283783,0.000421958494276594,3.00989999449004
"52","Argentina","Americas",1967,65.634,22934225,8052.953021,2.2934225,0.000454679088224148,3.66150933710018
"53","Argentina","Americas",1972,67.065,24779799,9443.038526,2.4779799,0.000491268242798597,4.63906494334747
"54","Argentina","Americas",1977,68.481,26983828,10079.02674,2.6983828,0.000534963893998478,5.39191539254518
"55","Argentina","Americas",1982,69.942,29341374,8997.897412,2.9341374,0.000581703073793151,5.23410458223584
"56","Argentina","Americas",1987,70.774,31620918,9139.671389,3.1620918,0.000626895836464958,5.729621940422
"57","Argentina","Americas",1992,71.868,33958947,9308.41871,3.3958947,0.000673248084860603,6.26687506958811
"58","Argentina","Americas",1997,73.275,36203463,10967.28195,3.6203463,0.000717746405095297,7.87172719327904
"59","Argentina","Americas",2002,74.34,38331121,8797.640716,3.8331121,0.000759927974321761,6.68557328812053
"60","Argentina","Americas",2007,75.32,40301927,12779.37964,4.0301927,0.000798999897403822,10.2107230212445
"61","Australia","Oceania",1952,69.12,8691212,10039.59564,0.8691212,0.000172306339007434,1.7298859698434
"62","Australia","Oceania",1957,70.33,9712569,10949.64959,0.9712569,0.000192555101261722,2.10841088558283
"63","Australia","Oceania",1962,70.93,10794968,12217.22686,1.0794968,0.000214014042665442,2.61465811046943
"64","Australia","Oceania",1967,71.1,11872264,14526.12465,1.1872264,0.000235371815296849,3.4190403280988
"65","Australia","Oceania",1972,71.93,13177000,16788.62948,1.3177,0.000261238666034261,4.38583916989867
"66","Australia","Oceania",1977,73.49,14074100,18334.19751,1.40741,0.000279023989499339,5.11568093350905
"67","Australia","Oceania",1982,74.74,15184200,19477.00928,1.51842,0.000301032112984551,5.8632052581781
"68","Australia","Oceania",1987,76.32,16257249,21888.88903,1.6257249,0.000322305687345133,7.0549134240355
"69","Australia","Oceania",1992,77.56,17481977,23424.76683,1.7481977,0.000346586351303152,8.1187044657368
"70","Australia","Oceania",1997,78.83,18565243,26997.93657,1.8565243,0.000368062481287235,9.9369275235896
"71","Australia","Oceania",2002,80.37,19546792,30687.75473,1.9546792,0.000387522035920859,11.8921811908096
"72","Australia","Oceania",2007,81.235,20434176,34435.36744,2.0434176,0.000405114736263892,13.9502747986058
"73","Austria","Europe",1952,66.8,6927772,6137.076492,0.6927772,0.000137345519911171,0.842899961528367
"74","Austria","Europe",1957,67.48,6965860,8842.59803,0.696586,0.000138100627926039,1.22116834044056
"75","Austria","Europe",1962,69.54,7129864,10750.72111,0.7129864,0.000141352064989429,1.51963662902394
"76","Austria","Europe",1967,70.14,7376998,12834.6024,0.7376998,0.000146251583581802,1.8770809256428
"77","Austria","Europe",1972,70.63,7544201,16661.6256,0.7544201,0.000149566441946903,2.49202005804343
"78","Austria","Europe",1977,72.17,7568430,19749.4223,0.756843,0.000150046790405531,2.96333742847842
"79","Austria","Europe",1982,73.18,7574613,21597.08362,0.7574613,0.000150169370558228,3.24322045310882
"80","Austria","Europe",1987,74.94,7578903,23687.82607,0.7578903,0.000150254421319197,3.55920059845764
"81","Austria","Europe",1992,76.04,7914969,27042.01868,0.7914969,0.000156917048134061,4.24335374685175
"82","Austria","Europe",1997,77.51,8069876,29095.92066,0.8069876,0.000159988133968422,4.65500205248666
"83","Austria","Europe",2002,78.98,8148312,32417.60769,0.8148312,0.000161543155294146,5.23684263333037
"84","Austria","Europe",2007,79.829,8199783,36126.4927,0.8199783,0.000162563585997603,5.87285220282822
"85","Bahrain","Asia",1952,50.939,120447,9867.084765,0.0120447,2.3879041973005e-06,0.0235616531254633
"86","Bahrain","Asia",1957,53.832,138655,11635.79945,0.0138655,2.74888421028917e-06,0.0319854653821965
"87","Bahrain","Asia",1962,56.923,171863,12753.27514,0.0171863,3.40724450638584e-06,0.0434535266591921
"88","Bahrain","Asia",1967,59.923,202182,14804.6727,0.0202182,4.0083293599559e-06,0.0593420042479476
"89","Bahrain","Asia",1972,63.3,230800,18268.65839,0.02308,4.57569128942152e-06,0.0835917410645405
"90","Bahrain","Asia",1977,65.593,297410,19340.10196,0.029741,5.89625799994305e-06,0.114034230901364
"91","Bahrain","Asia",1982,69.052,377967,19211.14731,0.0377967,7.49332889769838e-06,0.143955445295963
"92","Bahrain","Asia",1987,70.75,454612,18524.02406,0.0454612,9.01284301761914e-06,0.16695412090738
"93","Bahrain","Asia",1992,72.601,529491,19035.57917,0.0529491,1.0497345565542e-05,0.199823052587723
"94","Bahrain","Asia",1997,73.925,598561,20292.01679,0.0598561,1.18666826424932e-05,0.240798923423074
"95","Bahrain","Asia",2002,74.795,656397,23403.55927,0.0656397,1.30133017127488e-05,0.304557577932709
"96","Bahrain","Asia",2007,75.635,708573,29796.04834,0.0708573,1.40477092895116e-05,0.418566225056555
"97","Bangladesh","Asia",1952,37.484,46886859,684.2441716,4.6886859,0.000929548493564277,0.636038138940917
"98","Bangladesh","Asia",1957,39.348,51365468,661.6374577,5.1365468,0.00101833849438761,0.673770892504663
"99","Bangladesh","Asia",1962,41.216,56839289,686.3415538,5.6839289,0.00112685892363177,0.773410104558825
"100","Bangladesh","Asia",1967,43.453,62821884,721.1860862,6.2821884,0.0012454659766198,0.898212733173693
"101","Bangladesh","Asia",1972,45.252,70759295,630.2336265,7.0759295,0.00140282794530809,0.884109343327064
"102","Bangladesh","Asia",1977,46.923,80428306,659.8772322,8.0428306,0.00159451949387838,1.05218711030941
"103","Bangladesh","Asia",1982,50.009,93074406,676.9818656,9.3074406,0.00184523288042583,1.24918919785714
"104","Bangladesh","Asia",1987,52.819,103764241,751.9794035,10.3764241,0.00205716262433768,1.54694392315194
"105","Bangladesh","Asia",1992,56.018,113704579,837.8101643,11.3704579,0.00225423332624628,1.88861959343293
"106","Bangladesh","Asia",1997,59.412,123315288,972.7700352,12.3315288,0.00244476901713218,2.37819804285154
"107","Bangladesh","Asia",2002,62.013,135656790,1136.39043,13.565679,0.00268944364104803,3.05625801571133
"108","Bangladesh","Asia",2007,64.062,150448339,1391.253792,15.0448339,0.00298269130966307,4.14968059493419
"109","Belgium","Europe",1952,68,8730405,8343.105127,0.8730405,0.000173083354036491,1.4440526184602
"110","Belgium","Europe",1957,69.24,8989111,9714.960623,0.8989111,0.000178212291604607,1.73132539547335
"111","Belgium","Europe",1962,70.25,9218400,10991.20676,0.92184,0.000182758026786843,2.00873125946381
"112","Belgium","Europe",1967,70.94,9556500,13149.04119,0.95565,0.000189460978368097,2.49123020845981
"113","Belgium","Europe",1972,71.44,9709100,16672.14356,0.97091,0.000192486327114916,3.20915967899699
"114","Belgium","Europe",1977,72.8,9821800,19117.97448,0.98218,0.000194720644308667,3.72266430862225
"115","Belgium","Europe",1982,73.93,9856303,20979.84589,0.9856303,0.000195404678435872,4.0995600397696
"116","Belgium","Europe",1987,75.35,9870200,22525.56308,0.98702,0.000195680191355495,4.40780649388468
"117","Belgium","Europe",1992,76.46,10045622,25575.57069,1.0045622,0.000199157994290387,5.0935793614524
"118","Belgium","Europe",1997,77.53,10199787,27561.19663,1.0199787,0.000202214369713409,5.57327000508279
